[2019-09-24 08:10:06,651][DEBUG|parseNewProvider.py:85] >>  Hello Parser! 
[2019-09-24 08:10:27,409][DEBUG|parseNewProvider.py:29] >> 더한트레이더 :  카피트레이딩, 종목 추천, 투자 정보(증권/주식), 259186.0, ai.fabot.fabotk.app, 금융, 파봇, 1000.0, 12.0, 4.2, 100, 11, 0, 0, 22, 2019년 7월 9일, http://thehantrader.com, %ED%8C%8C%EB%B4%87, 
[2019-09-24 08:10:34,330][DEBUG|parseNewProvider.py:29] >> 닥터폴 : 발명 연금술사 free, 259187.0, com.Cretagames.DRP, 교육, Creta games Inc., 5000.0, 40.0, 4.7, 100, 2, 0, 2, 5, 2019년 1월 23일, http://cretagames.com, Creta+games+Inc., 
[2019-09-24 08:10:40,786][DEBUG|parseNewProvider.py:29] >> 봄 라이브 배경 화면, 259188.0, com.SpringWLPP, 맞춤 설정, Frisky Lab, 100000.0, 609.0, 0, 0, 0, 0, 0, 0, 2018년 9월 22일, mailto:petar.stanisic@gmail.com, Frisky+Lab, 
[2019-09-24 08:10:47,382][DEBUG|parseNewProvider.py:29] >> #WeAreONE, 259189.0, com.airbus.ensemblebyairbus, 비즈니스, Airbus Group, 1000.0, 0, 0, 0, 0, 0, 0, 0, 2017년 9월 7일, http://www.airbus.com, Airbus+Group, 
[2019-09-24 08:10:54,557][DEBUG|parseNewProvider.py:29] >> Steam Broadcast Viewer: watch Steam livestreams, 259190.0, com.appstronautstudios.steambroadcast, 엔터테인먼트, Appstronaut Studios, 10000.0, 102.0, 3.5, 100, 30, 10, 19, 56, 2019년 9월 6일, http://www.appstronautstudios.com, , 7481894709243185341
[2019-09-24 08:11:01,041][DEBUG|parseNewProvider.py:29] >> 카우스페이, 259191.0, com.causpay.user, 비즈니스, 바로결제, 10.0, 0, 0, 0, 0, 0, 0, 0, 2019년 8월 28일, http://www.caus.co.kr/, %EB%B0%94%EB%A1%9C%EA%B2%B0%EC%A0%9C, 
[2019-09-24 08:11:07,995][DEBUG|parseNewProvider.py:29] >> 세계 노선 지도 & GPS 전부, 259192.0, com.driving.guide.earth.navigationmap.trackingfree, 여행 및 지역정보, Free App Valley, 100000.0, 1079.0, 4.2, 100, 16, 13, 2, 16, 2019년 9월 6일, http://freeappvalley.com, Free+App+Valley, 
[2019-09-24 08:11:14,934][DEBUG|parseNewProvider.py:29] >> Brave Rabbit - 아주 어려운 고난이도 액션 퍼즐! 토끼가 펼치는 놀라운 모험!, 259193.0, com.eeetree.free.rb, 퍼즐, eeetree, 500.0, 24.0, 4.8, 100, 4, 0, 0, 4, 2018년 2월 6일, http://www.eeetree.com/, eeetree, 
[2019-09-24 08:11:22,358][DEBUG|parseNewProvider.py:29] >> 캘린더메모 - 달력과 서식있는 메모, 259194.0, com.enex4.popmemo, 생산성, enex, 100.0, 5.0, 5.0, 100, 0, 0, 0, 0, 2019년 7월 29일, mailto:enex.popdiary@gmail.com, enex, 
[2019-09-24 08:11:28,709][DEBUG|parseNewProvider.py:29] >> Free VPN Proxy Master - Fast secure VPN, 259195.0, com.free.fast.master.unblock.proxy.vpn, 도구, Freemaster2019, 1000000.0, 37214.0, 4.4, 100, 18, 10, 3, 7, 2019년 8월 9일, https://vpnmasterfree.com/, Freemaster2019, 
[2019-09-24 08:11:35,157][DEBUG|parseNewProvider.py:29] >> 한패스 해외송금, 259196.0, com.hanpass.remittance, 금융, Hanpass, 50000.0, 855.0, 3.8, 100, 11, 11, 9, 33, 2019년 9월 17일, https://www.hanpass.com, Hanpass, 
[2019-09-24 08:11:41,657][DEBUG|parseNewProvider.py:29] >> 한우리추천도서 – 초등2, 259197.0, com.hanuri.hanurirecommendbookNew3, 교육, 한우리열린교육, 1000.0, 0, 0, 0, 0, 0, 0, 0, 2019년 9월 3일, http://www.hanuribook.com, %ED%95%9C%EC%9A%B0%EB%A6%AC%EC%97%B4%EB%A6%B0%EA%B5%90%EC%9C%A1, 
[2019-09-24 08:11:48,329][DEBUG|parseNewProvider.py:29] >> 핸드메이드, 수공예 거래 필수 앱 - 헬로마켓 핸드메이드, 259198.0, com.hellomarket.handmade, 쇼핑, Hellomarket Inc., 500.0, 0, 0, 0, 0, 0, 0, 0, 2019년 5월 14일, https://www.hellomarket.com/, Hellomarket+Inc., 
